Amplitude,Type,Status,OutputFile
5,PRIME,SUCCESS,/data/output_A5
6,COMPOSITE,SUCCESS,/data/output_A6
7,PRIME,SUCCESS,/data/output_A7
8,COMPOSITE,SUCCESS,/data/output_A8
9,COMPOSITE,SUCCESS,/data/output_A9
10,COMPOSITE,SUCCESS,/data/output_A10
11,PRIME,SUCCESS,/data/output_A11
12,COMPOSITE,SUCCESS,/data/output_A12
13,PRIME,SUCCESS,/data/output_A13
14,COMPOSITE,SUCCESS,/data/output_A14
15,COMPOSITE,SUCCESS,/data/output_A15
16,COMPOSITE,SUCCESS,/data/output_A16
17,PRIME,SUCCESS,/data/output_A17
18,COMPOSITE,SUCCESS,/data/output_A18
19,PRIME,SUCCESS,/data/output_A19
20,COMPOSITE,SUCCESS,/data/output_A20
21,COMPOSITE,SUCCESS,/data/output_A21
22,COMPOSITE,SUCCESS,/data/output_A22
23,PRIME,SUCCESS,/data/output_A23
24,COMPOSITE,SUCCESS,/data/output_A24
25,COMPOSITE,SUCCESS,/data/output_A25
26,COMPOSITE,SUCCESS,/data/output_A26
27,COMPOSITE,SUCCESS,/data/output_A27
28,COMPOSITE,SUCCESS,/data/output_A28
29,PRIME,SUCCESS,/data/output_A29
30,COMPOSITE,SUCCESS,/data/output_A30
31,PRIME,SUCCESS,/data/output_A31
32,COMPOSITE,SUCCESS,/data/output_A32
33,COMPOSITE,SUCCESS,/data/output_A33
34,COMPOSITE,SUCCESS,/data/output_A34
35,COMPOSITE,SUCCESS,/data/output_A35
36,COMPOSITE,SUCCESS,/data/output_A36
37,PRIME,SUCCESS,/data/output_A37
38,COMPOSITE,SUCCESS,/data/output_A38
39,COMPOSITE,SUCCESS,/data/output_A39
40,COMPOSITE,SUCCESS,/data/output_A40
41,PRIME,SUCCESS,/data/output_A41
42,COMPOSITE,SUCCESS,/data/output_A42
43,PRIME,SUCCESS,/data/output_A43
44,COMPOSITE,SUCCESS,/data/output_A44
45,COMPOSITE,SUCCESS,/data/output_A45
46,COMPOSITE,SUCCESS,/data/output_A46
47,PRIME,SUCCESS,/data/output_A47
48,COMPOSITE,SUCCESS,/data/output_A48
49,COMPOSITE,SUCCESS,/data/output_A49
50,COMPOSITE,SUCCESS,/data/output_A50
137,PRIME,SUCCESS,/data/output_A137
360,COMPOSITE,SUCCESS,/data/output_A360
720,COMPOSITE,SUCCESS,/data/output_A720
1000,COMPOSITE,SUCCESS,/data/output_A1000
2520,COMPOSITE,SUCCESS,/data/output_A2520
5040,COMPOSITE,SUCCESS,/data/output_A5040
30020,COMPOSITE,SUCCESS,/data/output_A30020
30021,COMPOSITE,SUCCESS,/data/output_A30021
30022,COMPOSITE,SUCCESS,/data/output_A30022
30023,COMPOSITE,SUCCESS,/data/output_A30023
30024,COMPOSITE,SUCCESS,/data/output_A30024
30025,COMPOSITE,SUCCESS,/data/output_A30025
30026,COMPOSITE,SUCCESS,/data/output_A30026
30027,COMPOSITE,SUCCESS,/data/output_A30027
30028,COMPOSITE,SUCCESS,/data/output_A30028
30029,PRIME,SUCCESS,/data/output_A30029
30030,PRIMORIAL_SINGULARITY,SUCCESS,/data/output_A30030
30031,COMPOSITE,SUCCESS,/data/output_A30031
30032,COMPOSITE,SUCCESS,/data/output_A30032
30033,COMPOSITE,SUCCESS,/data/output_A30033
30034,COMPOSITE,SUCCESS,/data/output_A30034
30035,COMPOSITE,SUCCESS,/data/output_A30035
30036,COMPOSITE,SUCCESS,/data/output_A30036
30037,COMPOSITE,SUCCESS,/data/output_A30037
30038,COMPOSITE,SUCCESS,/data/output_A30038
30039,COMPOSITE,SUCCESS,/data/output_A30039
30040,COMPOSITE,SUCCESS,/data/output_A30040
